InstanceID,patientID,ImageName,cellTypeName,cellType,isCancerous,imagePath,imageExists
aug_1_35_22306,58,aug_1_35_22306.png,inflammatory,1,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/augmented/aug_1_35_22306.png,True
125,36,125.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/125.png,True
aug_0_447_7797,9,aug_0_447_7797.png,fibroblast,0,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/augmented/aug_0_447_7797.png,True
aug_3_477_18558,26,aug_3_477_18558.png,others,3,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/augmented/aug_3_477_18558.png,True
9278,21,9278.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/9278.png,True
11817,30,11817.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/11817.png,True
168,5,168.png,inflammatory,1,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/168.png,True
1198,19,1198.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/1198.png,True
10098,41,10098.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/10098.png,True
281,5,281.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/281.png,True
19023,45,19023.png,inflammatory,1,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/19023.png,True
aug_0_711_31,36,aug_0_711_31.png,fibroblast,0,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/augmented/aug_0_711_31.png,True
4353,22,4353.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/4353.png,True
9369,21,9369.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/9369.png,True
aug_3_502_13859,54,aug_3_502_13859.png,others,3,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/augmented/aug_3_502_13859.png,True
13955,54,13955.png,epithelial,2,1,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/13955.png,True
aug_0_138_7797,9,aug_0_138_7797.png,fibroblast,0,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/augmented/aug_0_138_7797.png,True
aug_3_1050_17773,59,aug_3_1050_17773.png,others,3,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/augmented/aug_3_1050_17773.png,True
13285,53,13285.png,others,3,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/patch_images/13285.png,True
aug_1_43_15776,12,aug_1_43_15776.png,inflammatory,1,0,/Users/poornagunawardana/Desktop/Semester_4/CML/A2/image-classification-cml-g30/data/augmented/aug_1_43_15776.png,True
